seller_id,total_price,total_freight,total_orders,avg_review_score,total_revenue
07d75e33f2750d97d467fb57e4dfdd8a,722.4,37.19,2,2.5,759.5899999999999
07de60b03d150fb3ea09eab5da5e4c8b,539.3000000000001,135.29,7,4.714285714285714,674.59
07e8e8fc5222bb358e6f259da3197074,25.9,15.28,1,3.0,41.18
080102cd0a76b09e0dcf55fcacc60e05,4159.96,1665.33,91,4.474226804123711,5825.29
080199a181c46c657dc5aa235411be3b,5813.1900000000005,449.12,32,4.588235294117647,6262.31
08084d990eb3f53af056ccbc1730c8a7,306.90000000000003,198.99,10,4.444444444444445,505.89000000000004
081acf3de680d554796c9cf041be7bc2,1049.8,45.93,2,2.5,1095.73
082e0bf4cb865a6533b1e8e498cc0255,1258.4,604.37,6,2.8333333333333335,1862.77
085f6f7e049c996695fb2074fe38d45e,282.2,100.36,5,3.5,382.56
08633c14ef2db992c11f840f04fad4cd,6028.1,1172.19,61,4.430379746835443,7200.290000000001
0873d9f8f36123f8d910f4760e788cfb,7265.59,161.06,6,3.1666666666666665,7426.650000000001
0885aaf116795758dfeb5f1032487bcd,2243.5,448.34000000000003,23,4.2,2691.84
08ad4ac1388e4420ca531c3edfc46198,221.62,89.05,6,2.7142857142857144,310.67
08cdbae123ff67ca4e36d9d641ce0119,839.99,174.49,1,5.0,1014.48
08d0949a9a17c027262db1f3c450c26c,206.3,147.39,7,3.2857142857142856,353.69
08d1c9478fb0d7d7fcac9c0da4e82fc7,538.0,67.57,1,5.0,605.5699999999999
08f5819815f3d06545011850bd70f0a8,452.0,70.83,3,4.666666666666667,522.83
094ced053e257ae8cae57205592d6712,1519.2,459.03000000000003,19,4.052631578947368,1978.23
0951a6e282947e09cd47969f4ed0b47f,492.3,88.02,7,4.857142857142857,580.32
099095b050cfe8eb1ddff5317587e96e,3274.85,534.88,14,3.0588235294117645,3809.73
09bad886111255c5b5030314fc7f1a4a,487.5,72.86,5,5.0,560.36
09f952a5f58d2285b0372551ae8f9b01,7943.96,1056.83,37,3.880952380952381,9000.79
0a198e95d32b1be2da9424c962a6ebfa,69.99,16.68,1,5.0,86.66999999999999
0a82f5fb06a4fe4ac2cf7cb412ec71b8,189.0,9.68,1,5.0,198.68
0a85ebe4e328db81ac9109781205e2f7,667.9,137.75,12,4.583333333333333,805.65
0aa2205ca24f113f4658a5c536667426,815.62,172.48,4,2.8181818181818183,988.1
0ac4201fda2c68ebc0e47cb9423cf3c9,1038.94,147.43,6,4.285714285714286,1186.3700000000001
0adac9fbd9a2b63cccaac4f8756c1ca8,3908.92,571.29,27,3.7096774193548385,4480.21
0aea4c6ae1505b3228ddf3dd7822ee5b,562.96,91.01,4,3.75,653.97
0af2ab31141893d26aca5a404a537dab,59.0,15.51,1,5.0,74.51
0af977692321d895349eded183341d28,257.75,19.47,2,4.5,277.22
0afccdb8a34ee5c79f7c06faf2b4d56e,79.8,40.29,2,3.0,120.09
0b0ddbc7b9d9584f442c7ac92b0ff6c9,1416.76,133.88,3,4.666666666666667,1550.6399999999999
0b18d63d0cd1d723567903fd34a07df2,419.7,59.82,2,4.333333333333333,479.52
0b1ca3ef18a63d7eb0c8897fa0849c08,55.0,7.87,1,5.0,62.87
0b35c634521043bf4b47e21547b99ab5,5940.87,837.2,25,3.9285714285714284,6778.07
0b64bcdb0784abc139af04077d49a20e,137.6,68.21000000000001,4,4.75,205.81
