product_category_name_english,avg_review_score,total_reviews,avg_response_time_hours
agro_industry_and_commerce,4.111702127659575,188,93.97172429078014
air_conditioning,3.979591836734694,196,90.26615504535148
art,4.028735632183908,174,95.88967592592593
arts_and_craftmanship,4.045454545454546,22,95.53429292929292
audio,3.8216783216783217,286,65.40936188811189
auto,4.10706829704742,3353,68.13414380157073
baby,4.038851351351352,2368,72.58736240146396
bed_bath_table,3.873215785054576,8337,69.51253911612224
books_general_interest,4.481840193704601,413,71.61010021522733
books_imported,4.547169811320755,53,66.37269392033542
books_technical,4.364754098360656,244,65.62805214025501
cds_dvds_musicals,5.0,6,71.14125
christmas_supplies,4.044117647058823,136,88.25337009803923
cine_photo,4.230769230769231,65,61.35604700854701
computers,4.232432432432432,185,69.77652102102103
computers_accessories,3.9405559276624245,5972,71.00492102031703
consoles_games,4.0935524652338815,791,66.56303588987217
construction_tools_construction,4.091422121896162,886,79.64643152746426
construction_tools_lights,4.075862068965518,290,70.65236494252873
construction_tools_safety,3.977777777777778,180,75.242487654321
cool_stuff,4.135024549918167,2444,79.34216732587743
costruction_tools_garden,4.1139896373057,193,61.99757628094416
costruction_tools_tools,4.427083333333333,96,62.795515046296295
diapers_and_hygiene,3.3333333333333335,36,91.5838888888889
drinks,4.1203438395415475,349,59.52721505889844
dvds_blu_ray,4.314285714285714,35,69.19415079365079
electronics,4.0587234042553195,2350,70.03317505910165
fashio_female_clothing,4.0,22,57.30147727272728
fashion_bags_accessories,4.17741935483871,1426,65.59944522362474
fashion_childrens_clothes,5.0,5,66.84511111111111
fashion_male_clothing,3.6818181818181817,66,50.05334595959596
fashion_shoes,4.2180451127819545,133,69.00609231411863
fashion_sport,4.142857142857143,14,528.9357341269841
fashion_underwear_beach,4.011904761904762,84,60.79496362433863
fixed_telephony,3.5271317829457365,129,96.86164728682171
flowers,4.419354838709677,31,58.973163082437274
food,4.235981308411215,428,63.85249675493251
food_drink,4.3097345132743365,226,52.45760570304818
furniture_bedroom,4.175675675675675,74,74.57167042042042
furniture_decor,3.9248388191381065,5894,69.96670983674547
furniture_living_room,3.8384146341463414,328,70.7813668699187
furniture_mattress_and_upholstery,3.966666666666667,30,72.31537962962963
garden_tools,4.0480471171729695,3226,78.52077676172763
health_beauty,4.191430454845089,7585,71.11056449132059
home_appliances,4.2075471698113205,583,79.24056794358681
home_appliances_2,4.162162162162162,185,87.26444594594595
home_comfort_2,3.111111111111111,18,58.59922839506172
home_confort,3.844765342960289,277,71.3558844765343
home_construction,3.953153153153153,555,62.44908608608608
housewares,4.082734511555642,5149,68.17565309337304
industry_commerce_and_business,4.121951219512195,246,105.41962624209576
kitchen_dining_laundry_garden_furniture,4.004405286343612,227,81.3384691629956
la_cuisine,3.2,5,79.01305555555555
luggage_accessories,4.306818181818182,704,71.07689670138889
market_place,3.9430379746835444,158,59.10449894514768
music,4.25,28,95.36604166666666
musical_instruments,4.258620689655173,522,79.61972062579821
office_furniture,3.4205607476635516,1177,87.81207141508543
party_supplies,3.8048780487804876,41,55.76586043360434
perfumery,4.206827309236948,2490,71.57394767960731
pet_shop,4.2184300341296925,1465,68.23405271141449
security_and_services,1.0,1,44.82694444444444
signaling_and_security,4.067415730337078,178,71.78439606741573
small_appliances,4.188720173535792,461,68.39567184863823
small_appliances_home_oven_and_coffee,4.450704225352113,71,63.974753521126765
sports_leisure,4.126538881097086,6417,70.07902654407563
stationery,4.212048192771085,2075,68.05943801874163
tablets_printing_image,4.052631578947368,38,53.52828216374269
telephony,3.969951923076923,3328,69.33769673143696
toys,4.139021074099253,2942,70.53123678147897
watches_gifts,4.0456,5000,72.02863866666667
